# Title : Trajectory directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all trajectory files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20190215044811
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : NRL-MRY
file,latitude_max,latitude_min,longitude_max,longitude_min,profiler_type,institution,date_update
aoml/13857/13857_Rtraj.nc,6.931,0.007,-15.014,-33.808,845,AO,20181011200014
aoml/13858/13858_Rtraj.nc,5.213,-0.363,-9.498,-17.793,845,AO,20181011200015
aoml/13859/13859_Rtraj.nc,5.929,-0.939,-18.642,-33.677,845,AO,20181011200025
aoml/15819/15819_Rtraj.nc,-2.659,-9.186,-16.427,-39.959,845,AO,20181011200016
aoml/15820/15820_Rtraj.nc,-1.978,-7.140,-9.896,-35.764,845,AO,20181011200018
aoml/15851/15851_Rtraj.nc,-2.734,-6.220,3.327,-21.144,845,AO,20181011200026
aoml/15852/15852_Rtraj.nc,-5.037,-8.439,-1.489,-18.864,845,AO,20181011200028
aoml/15853/15853_Rtraj.nc,-4.698,-8.248,-4.398,-17.956,845,AO,20181011200029
aoml/15854/15854_Rtraj.nc,-4.810,-7.198,-6.409,-12.688,845,AO,20181011200030
aoml/15855/15855_Rtraj.nc,-1.794,-6.002,7.000,-5.453,845,AO,20181011200034
aoml/1900022/1900022_Rtraj.nc,26.895,13.849,-55.257,-66.088,851,AO,20160912191050
aoml/1900033/1900033_Rtraj.nc,14.303,10.098,-32.586,-49.008,851,AO,20160912191035
aoml/1900034/1900034_Rtraj.nc,11.125,5.043,-28.639,-34.852,851,AO,20160912191035
aoml/1900035/1900035_Rtraj.nc,20.935,17.989,-40.522,-48.988,851,AO,20160912191036
aoml/1900036/1900036_Rtraj.nc,37.660,31.395,-17.557,-25.302,851,AO,20160912191043
aoml/1900037/1900037_Rtraj.nc,36.712,30.951,-26.998,-38.415,851,AO,20160912191039
aoml/1900038/1900038_Rtraj.nc,35.884,29.578,-26.595,-30.028,851,AO,20160912191038
aoml/1900039/1900039_Rtraj.nc,39.407,32.690,-32.541,-56.048,851,AO,20160912191041
aoml/1900040/1900040_Rtraj.nc,35.192,29.191,-35.225,-41.669,851,AO,20160912191042
aoml/1900041/1900041_Rtraj.nc,38.144,34.192,-10.130,-23.146,851,AO,20160912191055
aoml/1900042/1900042_Rtraj.nc,-39.706,-46.918,94.943,50.177,846,AO,20160912191218
aoml/1900043/1900043_Rtraj.nc,-45.842,-61.616,102.611,53.988,846,AO,20160912191219
aoml/1900044/1900044_Rtraj.nc,-44.196,-56.308,178.992,-179.765,846,AO,20160912191223
aoml/1900045/1900045_Rtraj.nc,-45.330,-51.349,133.309,61.677,846,AO,20160912191222
aoml/1900046/1900046_Rtraj.nc,-39.357,-50.183,145.474,60.030,846,AO,20181012200117
aoml/1900047/1900047_Rtraj.nc,-46.038,-59.543,137.088,62.871,846,AO,20160912191216
aoml/1900048/1900048_Rtraj.nc,-51.551,-52.783,72.436,68.905,846,AO,20160912191218
aoml/1900049/1900049_Rtraj.nc,-52.290,-52.768,72.536,70.363,846,AO,20160912191217
aoml/1900050/1900050_Rtraj.nc,-19.997,-43.981,67.624,32.340,846,AO,20181012200020
aoml/1900051/1900051_Rtraj.nc,-19.404,-30.912,54.307,33.614,846,AO,20160912191156
aoml/1900052/1900052_Rtraj.nc,-7.685,-41.781,60.003,15.371,846,AO,20181012200025
aoml/1900053/1900053_Rtraj.nc,-14.051,-41.247,69.441,16.460,846,AO,20181012200039
aoml/1900054/1900054_Rtraj.nc,-14.453,-38.848,75.549,22.461,846,AO,20181012200033
aoml/1900055/1900055_Rtraj.nc,-11.633,-13.680,71.515,61.527,846,AO,20160912191209
aoml/1900056/1900056_Rtraj.nc,0.873,-11.590,79.900,43.731,846,AO,20181012200106
aoml/1900057/1900057_Rtraj.nc,-27.746,-36.955,-16.058,-37.752,851,AO,20160912191051
aoml/1900058/1900058_Rtraj.nc,-29.086,-35.909,-9.122,-28.865,851,AO,20160912191250
aoml/1900059/1900059_Rtraj.nc,-6.896,-23.058,-15.166,-84.378,851,AO,20160912191053
aoml/1900060/1900060_Rtraj.nc,-10.380,-24.099,-8.559,-41.034,851,AO,20181012200122
aoml/1900061/1900061_Rtraj.nc,-18.610,-21.130,-0.618,-8.692,851,AO,20160912191253
aoml/1900062/1900062_Rtraj.nc,-16.541,-20.281,-5.210,-14.527,851,AO,20160912191253
aoml/1900143/1900143_Rtraj.nc,-2.992,-10.245,95.820,67.322,846,AO,20181012200046
aoml/1900144/1900144_Rtraj.nc,-4.535,-12.600,94.446,75.778,846,AO,20160912191203
aoml/1900145/1900145_Rtraj.nc,-42.003,-47.090,77.125,73.185,846,AO,20160912191224
aoml/1900146/1900146_Rtraj.nc,-40.712,-45.557,108.876,75.225,846,AO,20160912191220
aoml/1900147/1900147_Rtraj.nc,-42.375,-50.846,150.878,76.326,846,AO,20160912191221
aoml/1900148/1900148_Rtraj.nc,-41.495,-60.783,176.834,77.103,846,AO,20160912191224
aoml/1900149/1900149_Rtraj.nc,-43.404,-56.607,119.770,74.619,846,AO,20160912191235
aoml/1900150/1900150_Rtraj.nc,-29.133,-43.843,78.468,45.970,846,AO,20160912191236
aoml/1900151/1900151_Rtraj.nc,-37.527,-47.138,108.873,74.955,846,AO,20160912191238
aoml/1900152/1900152_Rtraj.nc,-34.988,-42.869,85.826,77.122,846,AO,20160912191214
aoml/1900153/1900153_Rtraj.nc,-42.097,-60.052,179.743,-179.804,846,AO,20160912191234
aoml/1900154/1900154_Rtraj.nc,-4.724,-17.051,80.413,38.866,846,AO,20170524200005
aoml/1900155/1900155_Rtraj.nc,-1.530,-29.882,94.135,46.428,846,AO,20160912191326
aoml/1900156/1900156_Rtraj.nc,21.471,3.070,72.105,49.574,846,AO,20160912191326
aoml/1900157/1900157_Rtraj.nc,6.458,-2.007,67.565,47.100,846,AO,20160912191328
aoml/1900158/1900158_Rtraj.nc,3.717,-17.084,103.416,63.874,846,AO,20160912191335
aoml/1900159/1900159_Rtraj.nc,-0.891,-3.176,70.758,56.371,846,AO,20160912191335
aoml/1900160/1900160_Rtraj.nc,6.188,-12.661,94.105,42.822,846,AO,20160912191408
aoml/1900161/1900161_Rtraj.nc,14.353,0.463,72.061,48.328,846,AO,20160912191408
aoml/1900162/1900162_Rtraj.nc,11.388,-1.143,55.611,43.125,846,AO,20160912191409
aoml/1900163/1900163_Rtraj.nc,-35.502,-43.362,30.432,16.581,851,AO,20160912191311
aoml/1900164/1900164_Rtraj.nc,-35.558,-48.054,114.485,10.551,851,AO,20160912191312
aoml/1900165/1900165_Rtraj.nc,-14.021,-39.897,22.752,-2.959,851,AO,20160912191314
aoml/1900166/1900166_Rtraj.nc,6.288,-0.116,5.224,-11.548,851,AO,20160912191315
aoml/1900169/1900169_Rtraj.nc,13.611,-0.689,80.743,46.991,846,AO,20181012200222
aoml/1900170/1900170_Rtraj.nc,3.798,-7.954,76.725,41.058,846,AO,20160912191410
aoml/1900171/1900171_Rtraj.nc,0.026,-12.087,94.673,41.878,846,AO,20160912191411
aoml/1900172/1900172_Rtraj.nc,-4.179,-7.098,53.909,45.658,846,AO,20160912191412
aoml/1900180/1900180_Rtraj.nc,-5.403,-36.454,45.754,15.665,846,AO,20181012200225
aoml/1900181/1900181_Rtraj.nc,47.651,-13.002,59.879,-122.315,846,AO,20170810200023
aoml/1900182/1900182_Rtraj.nc,11.831,4.244,58.238,48.758,846,AO,20181012200227
aoml/1900183/1900183_Rtraj.nc,3.069,-0.608,76.899,55.373,846,AO,20181012200230
aoml/1900184/1900184_Rtraj.nc,9.418,-8.349,108.109,42.671,846,AO,20181012200235
aoml/1900185/1900185_Rtraj.nc,7.879,-1.198,72.562,46.204,846,AO,20181012200237
aoml/1900186/1900186_Rtraj.nc,-1.949,-6.745,56.097,42.767,846,AO,20160912191433
aoml/1900187/1900187_Rtraj.nc,11.427,-4.370,87.622,43.115,846,AO,20181012200239
aoml/1900188/1900188_Rtraj.nc,5.462,-5.073,97.062,41.200,846,AO,20160912191434
aoml/1900189/1900189_Rtraj.nc,-47.924,-47.943,35.944,35.927,846,AO,20180207210030
aoml/1900190/1900190_Rtraj.nc,-43.233,-61.411,178.821,-179.829,846,AO,20181013200209
aoml/1900191/1900191_Rtraj.nc,-42.158,-52.620,133.308,29.245,846,AO,20160912191907
aoml/1900192/1900192_Rtraj.nc,-32.644,-51.698,80.315,32.943,846,AO,20160912191908
aoml/1900193/1900193_Rtraj.nc,-49.287,-53.063,69.314,32.958,846,AO,20160912191913
aoml/1900194/1900194_Rtraj.nc,-36.536,-56.213,179.796,-179.129,846,AO,20160912191911
aoml/1900195/1900195_Rtraj.nc,-30.411,-41.622,58.834,25.795,846,AO,20160912191912
aoml/1900196/1900196_Rtraj.nc,-40.361,-58.647,175.132,33.989,846,AO,20160912191915
aoml/1900197/1900197_Rtraj.nc,-24.548,-43.013,59.890,25.030,846,AO,20160912191916
aoml/1900198/1900198_Rtraj.nc,-37.271,-42.514,58.632,23.188,846,AO,20160912191917
aoml/1900199/1900199_Rtraj.nc,-20.121,-24.808,77.588,68.783,846,AO,20160912192431
aoml/1900200/1900200_Rtraj.nc,-20.208,-51.550,90.440,18.770,846,AO,20160912192432
aoml/1900201/1900201_Rtraj.nc,-33.890,-50.623,82.490,9.815,852,AO,20180207210025
aoml/1900203/1900203_Rtraj.nc,-26.602,-35.756,-12.007,-36.841,852,AO,20181012200315
aoml/1900204/1900204_Rtraj.nc,-28.767,-34.896,-13.207,-37.398,851,AO,20160912191349
aoml/1900240/1900240_Rtraj.nc,-32.335,-38.374,7.867,-32.310,851,AO,20181012200319
aoml/1900241/1900241_Rtraj.nc,-29.338,-40.308,-30.893,-46.940,851,AO,20181012200324
aoml/1900242/1900242_Rtraj.nc,27.866,0.994,-36.059,-84.023,851,AO,20181012200331
aoml/1900243/1900243_Rtraj.nc,-31.540,-48.545,-16.357,-54.350,851,AO,20181012200329
aoml/1900246/1900246_Rtraj.nc,7.888,-3.806,5.196,-62.870,851,AO,20160912191458
aoml/1900248/1900248_Rtraj.nc,26.349,18.619,-28.138,-45.846,852,AO,20160912191543
aoml/1900249/1900249_Rtraj.nc,11.732,8.587,-21.642,-41.789,852,AO,20160912191544
aoml/1900256/1900256_Rtraj.nc,16.449,4.831,-25.373,-47.055,851,AO,20181012200201
aoml/1900258/1900258_Rtraj.nc,19.958,14.115,-28.088,-60.714,852,AO,20160912191635
aoml/1900259/1900259_Rtraj.nc,25.223,20.509,-26.125,-34.333,852,AO,20160912191632
aoml/1900260/1900260_Rtraj.nc,-29.088,-36.241,-19.823,-34.983,852,AO,20160912191713
aoml/1900261/1900261_Rtraj.nc,-14.567,-19.485,-2.702,-16.444,852,AO,20160912191920
aoml/1900262/1900262_Rtraj.nc,-12.994,-13.004,-8.219,-8.268,852,AO,20160912191921
aoml/1900263/1900263_Rtraj.nc,6.558,-9.668,-14.043,-50.550,851,AO,20160912191925
aoml/1900264/1900264_Rtraj.nc,6.052,-6.070,-18.613,-64.121,851,AO,20160912191924
aoml/1900265/1900265_Rtraj.nc,5.133,0.824,-27.371,-35.445,851,AO,20160912191923
aoml/1900266/1900266_Rtraj.nc,-20.530,-42.698,77.525,28.709,846,AO,20160912192433
aoml/1900267/1900267_Rtraj.nc,-19.038,-30.923,85.403,68.822,846,AO,20160912192434
aoml/1900268/1900268_Rtraj.nc,-2.161,-16.572,68.043,40.583,846,AO,20181016200337
aoml/1900269/1900269_Rtraj.nc,-10.344,-22.214,64.432,35.690,846,AO,20160912200125
aoml/1900270/1900270_Rtraj.nc,-10.502,-20.385,69.532,41.087,846,AO,20181016200355
aoml/1900271/1900271_Rtraj.nc,-15.000,-15.235,72.000,70.498,846,AO,20160912200127
aoml/1900272/1900272_Rtraj.nc,5.171,-21.571,75.004,40.158,846,AO,20181016200411
aoml/1900273/1900273_Rtraj.nc,-15.000,-21.284,85.464,64.607,846,AO,20181016200417
aoml/1900274/1900274_Rtraj.nc,-14.674,-17.379,67.526,60.107,846,AO,20181016200348
aoml/1900353/1900353_Rtraj.nc,-7.946,-14.232,67.374,59.506,846,AO,20181016200748
aoml/1900354/1900354_Rtraj.nc,-7.730,-18.685,76.381,41.065,846,AO,20181016200754
aoml/1900355/1900355_Rtraj.nc,3.611,-11.515,83.115,19.643,846,AO,20181016200801
aoml/1900356/1900356_Rtraj.nc,-4.211,-11.182,78.852,71.043,846,AO,20181016200803
aoml/1900357/1900357_Rtraj.nc,-8.652,-18.933,80.576,50.658,846,AO,20181016200809
aoml/1900358/1900358_Rtraj.nc,-32.161,-38.358,96.000,89.139,846,AO,20160912202038
aoml/1900359/1900359_Rtraj.nc,-25.839,-37.635,4.518,-28.696,852,AO,20160912191932
aoml/1900360/1900360_Rtraj.nc,-27.876,-36.177,4.345,-20.927,852,AO,20160912191931
aoml/1900361/1900361_Rtraj.nc,-29.531,-36.994,-3.038,-20.000,852,AO,20160912191928
aoml/1900362/1900362_Rtraj.nc,-35.620,-47.111,80.381,21.129,851,AO,20160912191838
aoml/1900363/1900363_Rtraj.nc,-33.505,-40.255,41.120,18.123,851,AO,20160912191839
aoml/1900364/1900364_Rtraj.nc,-34.745,-53.937,95.564,20.764,851,AO,20160912191840
aoml/1900365/1900365_Rtraj.nc,-25.742,-43.973,42.618,16.355,851,AO,20180207210029
aoml/1900366/1900366_Rtraj.nc,-0.750,-4.199,-15.383,-21.871,852,AO,20160912192018
aoml/1900406/1900406_Rtraj.nc,-30.965,-40.114,115.188,100.054,846,AO,20160912202039
aoml/1900407/1900407_Rtraj.nc,-33.123,-42.359,120.826,100.880,846,AO,20160912202040
aoml/1900408/1900408_Rtraj.nc,-17.819,-31.198,60.497,36.089,846,AO,20160912202041
aoml/1900409/1900409_Rtraj.nc,-5.577,-30.556,64.250,36.262,846,AO,20181017201131
aoml/1900410/1900410_Rtraj.nc,-24.704,-43.726,107.090,26.933,846,AO,20181017201140
aoml/1900411/1900411_Rtraj.nc,-26.074,-37.331,73.000,36.642,846,AO,20181017201152
aoml/1900412/1900412_Rtraj.nc,-22.051,-33.000,79.453,49.824,846,AO,20181017201203
aoml/1900413/1900413_Rtraj.nc,-26.758,-42.835,76.376,12.486,846,AO,20181017201214
aoml/1900414/1900414_Rtraj.nc,-31.359,-37.712,72.207,65.105,846,AO,20160912202103
aoml/1900415/1900415_Rtraj.nc,-16.764,-23.251,4.049,-10.016,852,AO,20160912200139
aoml/1900424/1900424_Rtraj.nc,6.328,-9.562,-9.451,-45.342,852,AO,20160912200135
aoml/1900425/1900425_Rtraj.nc,-4.400,-5.522,-16.830,-18.385,852,AO,20160912200136
aoml/1900426/1900426_Rtraj.nc,6.368,3.740,-12.689,-29.667,852,AO,20160912200133
aoml/1900427/1900427_Rtraj.nc,9.968,3.985,-14.421,-30.544,852,AO,20160912200132
aoml/1900428/1900428_Rtraj.nc,16.730,12.110,-26.850,-42.450,852,AO,20160912200136
aoml/1900429/1900429_Rtraj.nc,17.157,12.662,-24.530,-42.931,852,AO,20160912200130
aoml/1900430/1900430_Rtraj.nc,20.499,14.348,-22.694,-32.185,852,AO,20160912191921
aoml/1900431/1900431_Rtraj.nc,24.617,19.120,-20.846,-26.005,852,AO,20160912200137
aoml/1900432/1900432_Rtraj.nc,13.608,11.336,48.144,45.057,846,AO,20181024200211
aoml/1900435/1900435_Rtraj.nc,14.652,8.993,65.138,50.773,846,AO,20181024200216
aoml/1900438/1900438_Rtraj.nc,17.468,-7.569,68.990,40.337,846,AO,20181024200633
aoml/1900439/1900439_Rtraj.nc,14.064,13.000,50.000,48.102,846,AO,20181024200721
aoml/1900440/1900440_Rtraj.nc,14.001,13.961,53.500,53.336,846,AO,20181024200721
aoml/1900441/1900441_Rtraj.nc,13.017,8.344,64.115,56.000,846,AO,20181024200724
aoml/1900442/1900442_Rtraj.nc,15.793,7.500,62.791,52.515,846,AO,20181024200729
aoml/1900443/1900443_Rtraj.nc,2.500,-5.868,53.000,42.538,846,AO,20181024200735
aoml/1900444/1900444_Rtraj.nc,-14.256,-23.770,-16.822,-30.625,852,AO,20160912200405
aoml/1900445/1900445_Rtraj.nc,-20.148,-23.694,-1.727,-27.065,851,AO,20181016200623
aoml/1900446/1900446_Rtraj.nc,-24.362,-26.963,-2.001,-5.220,852,AO,20160912200404
aoml/1900447/1900447_Rtraj.nc,-23.923,-32.678,7.004,-23.801,852,AO,20160912200403
